i		j				x				y				z
3		5				0.771				0.919				-0.5
3		6				0.6				1.04				-0.5
3		7				0.41				1.13				-0.5
3		8				0.208				1.18				-0.5
3		9				-5.25e-08				1.2				-0.5
3		10				-0.208				1.18				-0.5
3		11				-0.41				1.13				-0.5
3		12				-0.6				1.04				-0.5
3		13				-0.771				0.919				-0.5
3		14				-0.919				0.771				-0.5
3		15				-1.04				0.6				-0.5
3		16				-1.13				0.41				-0.5
3		17				-1.18				0.208				-0.5
3		18				-1.2				-1.05e-07				-0.5
3		19				-1.18				-0.208				-0.5
3		20				-1.13				-0.41				-0.5
3		21				-1.04				-0.6				-0.5
3		22				-0.919				-0.771				-0.5
3		23				-0.771				-0.919				-0.5
3		24				-0.6				-1.04				-0.5
3		25				-0.41				-1.13				-0.5
3		26				-0.208				-1.18				-0.5
3		27				5.87e-07				-1.2				-0.5
3		28				0.208				-1.18				-0.5
3		29				0.41				-1.13				-0.5
3		30				0.6				-1.04				-0.5
3		31				0.771				-0.919				-0.5
3		32				0.919				-0.771				-0.5
3		33				1.04				-0.6				-0.5
3		34				1.13				-0.41				-0.5
3		35				1.18				-0.208				-0.5
3		36				1.2				2.1e-07				-0.5
3		0				1.2				0				-1
3		1				1.18				0.208				-1
3		2				1.13				0.41				-1
3		3				1.04				0.6				-1
3		4				0.919				0.771				-1
3		5				0.771				0.919				-1
3		6				0.6				1.04				-1
3		7				0.41				1.13				-1
3		8				0.208				1.18				-1
3		9				-5.25e-08				1.2				-1
3		10				-0.208				1.18				-1
3		11				-0.41				1.13				-1
3		12				-0.6				1.04				-1
3		13				-0.771				0.919				-1
3		14				-0.919				0.771				-1
3		15				-1.04				0.6				-1
3		16				-1.13				0.41				-1
3		17				-1.18				0.208				-1
3		18				-1.2				-1.05e-07				-1
3		19				-1.18				-0.208				-1
3		20				-1.13				-0.41				-1
3		21				-1.04				-0.6				-1
3		22				-0.919				-0.771				-1
3		23				-0.771				-0.919				-1
3		24				-0.6				-1.04				-1
3		25				-0.41				-1.13				-1
3		26				-0.208				-1.18				-1
3		27				5.87e-07				-1.2				-1
